,Closest City,Country Code,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
0,paraguari,py,-25.62,-57.15,18.0,4.6,68.0,0.0
1,bronnoysund,no,65.46,12.2,0.0,1.5,100.0,40.0
2,xining,cn,36.62,101.77,-1.75,1.11,71.0,0.0
3,kavaratti,in,10.57,72.64,29.38,4.21,100.0,0.0
4,medea,dz,36.27,2.77,14.0,2.6,76.0,40.0
5,mokolo,cm,10.74,13.8,37.08,3.41,17.0,0.0
6,provideniya,ru,64.42,-173.23,-4.05,8.51,100.0,88.0
7,teya,ru,60.37,92.63,-10.3,1.86,72.0,8.0
8,bodo,no,67.28,14.4,-1.0,4.6,63.0,75.0
9,mega,et,4.06,38.32,23.5,4.81,54.0,24.0
10,sunrise manor,us,36.21,-115.07,10.0,4.1,21.0,20.0
12,salamiyah,sy,35.01,37.05,24.7,3.21,17.0,0.0
13,deyang,cn,31.12,104.39,15.55,1.51,84.0,64.0
14,fukuma,jp,33.77,130.47,13.0,2.1,58.0,0.0
15,meulaboh,id,4.14,96.13,26.0,3.46,100.0,36.0
17,santa marinella,it,42.04,11.87,15.0,4.1,58.0,0.0
18,greece,us,43.21,-77.69,0.0,1.96,86.0,40.0
19,la ciotat,fr,43.17,5.6,18.0,13.4,34.0,0.0
20,torbay,ca,47.66,-52.73,-1.38,5.81,100.0,12.0
21,kavieng,pg,-2.57,150.8,29.1,3.46,100.0,76.0
22,alamosa,us,37.47,-105.87,2.0,11.8,49.0,1.0
24,mingaora,pk,34.78,72.36,12.38,0.96,47.0,24.0
25,saint-philippe,re,-21.36,55.77,27.0,5.1,74.0,76.0
26,sabang,id,1.17,120.82,24.85,2.41,100.0,80.0
27,havelock,us,34.88,-76.9,7.0,9.3,75.0,5.0
28,hilo,us,19.71,-155.08,21.0,2.6,83.0,75.0
29,nguru,ng,12.88,10.45,38.45,3.71,18.0,0.0
30,sisimiut,gl,66.94,-53.67,-21.9,1.11,75.0,0.0
31,angoche,mz,-16.23,39.91,29.1,4.66,100.0,8.0
32,cidreira,br,-30.17,-50.22,21.65,6.71,88.0,76.0
33,phangnga,th,8.45,98.53,30.0,3.1,66.0,75.0
34,poum,nc,-20.23,164.02,25.9,10.81,100.0,92.0
35,margate,za,-30.86,30.37,21.58,3.46,100.0,76.0
36,bredasdorp,za,-34.53,20.04,23.0,4.6,46.0,0.0
37,valls,es,41.28,1.25,18.0,10.8,45.0,20.0
